position,hand,action_history,stack_bb,prob_fold,prob_check,prob_call,prob_raise_2bb,prob_raise_3bb,prob_raise_4bb,prob_all_in
btn,Q7o,raise_2bb_raise_3bb_raise_4bb_all_in,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
btn,Q7o,raise_2bb_raise_3bb,100.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25
btn,Q7o,raise_2bb_raise_4bb,100.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
btn,Q7o,raise_2bb_all_in,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
btn,Q7o,raise_3bb_raise_4bb,100.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
btn,Q7o,raise_3bb_all_in,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
btn,Q7o,raise_4bb_all_in,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
btn,Q7o,,100.0,3.684055408193339e-05,0.0,3.684055408193339e-05,3.684055408193339e-05,3.684055408193339e-05,3.684055408193339e-05,0.9998157972295904
bb,99,raise_2bb_raise_3bb_raise_4bb,100.0,0.33333333333333337,0.0,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337
bb,99,raise_2bb_raise_3bb_all_in,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bb,99,raise_2bb_raise_4bb_all_in,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bb,99,raise_2bb,100.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2
bb,99,raise_3bb_raise_4bb_all_in,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bb,99,raise_3bb,100.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25
bb,99,raise_4bb,100.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
bb,99,all_in,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
btn,TT,raise_2bb_raise_3bb_raise_4bb_all_in,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
btn,TT,raise_2bb_raise_3bb,100.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25
btn,TT,raise_2bb_raise_4bb,100.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
